epoch,train_loss,val_loss,train_acc,val_acc
1,0.7819,0.5129,0.8120,0.9756
2,0.4665,0.4077,0.9787,0.9721
3,0.3705,0.3217,0.9900,0.9930
4,0.3095,0.2779,0.9961,0.9965
5,0.2868,0.2418,0.9926,0.9965
6,0.2385,0.2112,0.9991,1.0000
7,0.2124,0.1891,0.9991,1.0000
8,0.1907,0.1695,0.9991,1.0000
9,0.1717,0.1529,0.9991,1.0000
10,0.1549,0.1383,0.9991,1.0000
11,0.1472,0.1406,0.9970,0.9965
12,0.1318,0.1226,0.9974,0.9965
13,0.1225,0.1286,0.9974,0.9930
14,0.1163,0.1359,0.9970,0.9861
15,0.1338,0.1116,0.9909,0.9930
16,0.1070,0.0949,0.9948,0.9965
17,0.0816,0.0920,1.0000,0.9965
18,0.0753,0.0849,1.0000,0.9965
19,0.0697,0.0794,1.0000,0.9965
20,0.0646,0.0743,1.0000,0.9965
21,0.0601,0.0697,1.0000,0.9965
22,0.0559,0.0657,1.0000,0.9965
23,0.0522,0.0619,1.0000,0.9965
24,0.0488,0.0585,1.0000,0.9965
25,0.0457,0.0554,1.0000,0.9965
26,0.0428,0.0525,1.0000,0.9965
27,0.0402,0.0498,1.0000,0.9965
28,0.0378,0.0474,1.0000,0.9965
29,0.0356,0.0451,1.0000,0.9965
30,0.0335,0.0430,1.0000,0.9965
